provider,version,path,implementation,type,optional,required,computed,forceNew,maxItems,minItems,deprecated,default,configMode,conflictsWith,exactlyOneOf,atLeastOneOf,requiredWith,defaultFunc
auth0,3.0.0-alpha.0+dev,auth0.api_token,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,"client_id,client_secret",,,,github.com/auth0/terraform-provider-auth0/internal/provider.New.EnvDefaultFunc.func6
auth0,3.0.0-alpha.0+dev,auth0.audience,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/auth0/terraform-provider-auth0/internal/provider.New.EnvDefaultFunc.func3
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.code,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.dependencies,sdkv2,Set,true,false,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.dependencies.Elem.name,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.dependencies.Elem.version,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.deploy,sdkv2,Bool,true,false,false,false,0,0,,false,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.name,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.runtime,sdkv2,String,true,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.secrets,sdkv2,List,true,false,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.secrets.Elem.name,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.secrets.Elem.value,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.supported_triggers,sdkv2,List,false,true,false,false,1,1,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.supported_triggers.Elem.id,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.supported_triggers.Elem.version,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_action.version_id,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection,sdkv2,List,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection,sdkv2,List,true,false,true,false,1,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.admin_notification_frequency,sdkv2,Set,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.admin_notification_frequency,sdkv2,Set,true,false,true,false,0,0,,<nil>,auto,,,,breached_password_detection.0.shields,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.admin_notification_frequency.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.admin_notification_frequency.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.enabled,sdkv2,Bool,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.enabled,sdkv2,Bool,false,true,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.method,sdkv2,String,true,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.method,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration,sdkv2,List,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration,sdkv2,List,true,false,true,false,1,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration.Elem.shields,sdkv2,Set,false,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration.Elem.shields,sdkv2,Set,true,false,true,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration.Elem.shields.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
auth0,3.0.0-alpha.0+dev,auth0.auth0_attack_protection.breached_password_detection.Elem.pre_user_registration.Elem.shields.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
