provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_access_tag,sdkv2,0,resource,false,cloudflare:index/accessTag:AccessTag
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_account_member,sdkv2,0,resource,false,cloudflare:index/accountMember:AccountMember
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_waiting_room_event,sdkv2,0,resource,false,cloudflare:index/waitingRoomEvent:WaitingRoomEvent
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_access_mutual_tls_hostname_settings.settings.Elem,pf,0,nested,false,cloudflare:index/accessMutualTlsHostnameSettings:AccessMutualTlsHostnameSettings
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_access_mutual_tls_hostname_settings,pf,0,resource,false,cloudflare:index/accessMutualTlsHostnameSettings:AccessMutualTlsHostnameSettings
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_hyperdrive_config.origin.Elem,pf,0,nested,false,cloudflare:index/hyperdriveConfig:HyperdriveConfig
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_hyperdrive_config.caching.Elem,pf,0,nested,false,cloudflare:index/hyperdriveConfig:HyperdriveConfig
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_hyperdrive_config,pf,0,resource,false,cloudflare:index/hyperdriveConfig:HyperdriveConfig
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_waiting_room_rules.rules.Elem,sdkv2,0,nested,false,cloudflare:index/waitingRoomRules:WaitingRoomRules
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_waiting_room_rules,sdkv2,0,resource,false,cloudflare:index/waitingRoomRules:WaitingRoomRules
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_worker_route,sdkv2,0,resource,false,cloudflare:index/workerRoute:WorkerRoute
cloudflare,5.0.0-alpha.0+dev,cloudflare.cloudflare_rate_limit.correlate.Elem,sdkv2,0,nested,false,cloudflare:index/rateLimit:RateLimit
