provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
datadog,4.0.0-alpha.0+dev,datadog.default_tags.Elem,sdkv2,0,nested,false,
datadog,4.0.0-alpha.0+dev,datadog.datadog_synthetics_private_location.metadata.Elem,sdkv2,0,nested,false,datadog:index/syntheticsPrivateLocation:SyntheticsPrivateLocation
datadog,4.0.0-alpha.0+dev,datadog.datadog_synthetics_private_location,sdkv2,0,resource,false,datadog:index/syntheticsPrivateLocation:SyntheticsPrivateLocation
datadog,4.0.0-alpha.0+dev,datadog.datadog_downtime.recurrence.Elem,sdkv2,0,nested,false,datadog:index/downtime:Downtime
datadog,4.0.0-alpha.0+dev,datadog.datadog_downtime,sdkv2,0,resource,false,datadog:index/downtime:Downtime
datadog,4.0.0-alpha.0+dev,datadog.datadog_sensitive_data_scanner_group_order,pf,0,resource,false,datadog:index/sensitiveDataScannerGroupOrder:SensitiveDataScannerGroupOrder
datadog,4.0.0-alpha.0+dev,datadog.datadog_integration_fastly_account,pf,0,resource,false,datadog:fastly/integrationAccount:IntegrationAccount
datadog,4.0.0-alpha.0+dev,datadog.datadog_integration_aws_event_bridge,pf,0,resource,false,datadog:aws/integrationEventBridge:IntegrationEventBridge
datadog,4.0.0-alpha.0+dev,datadog.datadog_integration_gcp_sts,pf,0,resource,false,datadog:gcp/integrationSts:IntegrationSts
datadog,4.0.0-alpha.0+dev,datadog.datadog_team_membership,pf,0,resource,false,datadog:index/teamMembership:TeamMembership
datadog,4.0.0-alpha.0+dev,datadog.datadog_organization_settings.settings.Elem.saml_autocreate_users_domains.Elem,sdkv2,0,nested,false,datadog:index/organizationSettings:OrganizationSettings
datadog,4.0.0-alpha.0+dev,datadog.datadog_organization_settings.settings.Elem.saml_idp_initiated_login.Elem,sdkv2,0,nested,false,datadog:index/organizationSettings:OrganizationSettings
datadog,4.0.0-alpha.0+dev,datadog.datadog_organization_settings.settings.Elem.saml.Elem,sdkv2,0,nested,false,datadog:index/organizationSettings:OrganizationSettings
datadog,4.0.0-alpha.0+dev,datadog.datadog_organization_settings.settings.Elem.saml_strict_mode.Elem,sdkv2,0,nested,false,datadog:index/organizationSettings:OrganizationSettings
datadog,4.0.0-alpha.0+dev,datadog.datadog_organization_settings.settings.Elem,sdkv2,0,nested,false,datadog:index/organizationSettings:OrganizationSettings
