provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_droplet_snapshot,sdkv2,0,resource,false,digitalocean:index/dropletSnapshot:DropletSnapshot
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_cluster.backup_restore.Elem,sdkv2,0,nested,false,digitalocean:index/databaseCluster:DatabaseCluster
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_cluster.maintenance_window.Elem,sdkv2,0,nested,false,digitalocean:index/databaseCluster:DatabaseCluster
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_cluster,sdkv2,0,resource,false,digitalocean:index/databaseCluster:DatabaseCluster
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_mysql_config,sdkv2,0,resource,false,digitalocean:index/databaseMysqlConfig:DatabaseMysqlConfig
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_kafka_topic.config.Elem,sdkv2,0,nested,false,digitalocean:index/databaseKafkaTopic:DatabaseKafkaTopic
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_kafka_topic,sdkv2,0,resource,false,digitalocean:index/databaseKafkaTopic:DatabaseKafkaTopic
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_firewall.inbound_rule.Elem,sdkv2,0,nested,false,digitalocean:index/firewall:Firewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_firewall.outbound_rule.Elem,sdkv2,0,nested,false,digitalocean:index/firewall:Firewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_firewall.pending_changes.Elem,sdkv2,0,nested,false,digitalocean:index/firewall:Firewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_firewall,sdkv2,0,resource,false,digitalocean:index/firewall:Firewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_spaces_bucket_cors_configuration.cors_rule.Elem,sdkv2,0,nested,false,digitalocean:index/spacesBucketCorsConfiguration:SpacesBucketCorsConfiguration
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_spaces_bucket_cors_configuration,sdkv2,0,resource,false,digitalocean:index/spacesBucketCorsConfiguration:SpacesBucketCorsConfiguration
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_floating_ip_assignment,sdkv2,0,resource,false,digitalocean:index/floatingIpAssignment:FloatingIpAssignment
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_project_resources,sdkv2,0,resource,false,digitalocean:index/projectResources:ProjectResources
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_vpc_peering,sdkv2,0,resource,false,digitalocean:index/vpcPeering:VpcPeering
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_replica,sdkv2,0,resource,false,digitalocean:index/databaseReplica:DatabaseReplica
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_kubernetes_node_pool.nodes.Elem,sdkv2,0,nested,false,digitalocean:index/kubernetesNodePool:KubernetesNodePool
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_kubernetes_node_pool.taint.Elem,sdkv2,0,nested,false,digitalocean:index/kubernetesNodePool:KubernetesNodePool
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_kubernetes_node_pool,sdkv2,1,resource,false,digitalocean:index/kubernetesNodePool:KubernetesNodePool
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_ssh_key,sdkv2,0,resource,false,digitalocean:index/sshKey:SshKey
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_redis_config,sdkv2,0,resource,false,digitalocean:index/databaseRedisConfig:DatabaseRedisConfig
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_container_registry_docker_credentials,sdkv2,0,resource,false,digitalocean:index/containerRegistryDockerCredentials:ContainerRegistryDockerCredentials
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_firewall.rule.Elem,sdkv2,0,nested,false,digitalocean:index/databaseFirewall:DatabaseFirewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_database_firewall,sdkv2,0,resource,false,digitalocean:index/databaseFirewall:DatabaseFirewall
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_uptime_check,sdkv2,0,resource,false,digitalocean:index/uptimeCheck:UptimeCheck
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_spaces_bucket_policy,sdkv2,0,resource,false,digitalocean:index/spacesBucketPolicy:SpacesBucketPolicy
digitalocean,4.0.0-alpha.0+dev,digitalocean.digitalocean_record,sdkv2,0,resource,false,digitalocean:index/dnsRecord:DnsRecord
