provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
github,6.0.0-alpha.0+dev,github.app_auth.Elem,sdkv2,0,nested,false,
github,6.0.0-alpha.0+dev,github.github_repository_deployment_branch_policy,sdkv2,0,resource,false,github:index/repositoryDeploymentBranchPolicy:RepositoryDeploymentBranchPolicy
github,6.0.0-alpha.0+dev,github.github_repository_file,sdkv2,0,resource,false,github:index/repositoryFile:RepositoryFile
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.bypass_actors.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.commit_author_email_pattern.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.committer_email_pattern.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.tag_name_pattern.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.commit_message_pattern.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.required_status_checks.Elem.required_check.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.required_status_checks.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.required_deployments.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.pull_request.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem.branch_name_pattern.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.rules.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.conditions.Elem.ref_name.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset.conditions.Elem,sdkv2,0,nested,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_repository_ruleset,sdkv2,1,resource,false,github:index/repositoryRuleset:RepositoryRuleset
github,6.0.0-alpha.0+dev,github.github_organization_security_manager,sdkv2,0,resource,false,github:index/organizationSecurityManager:OrganizationSecurityManager
github,6.0.0-alpha.0+dev,github.github_dependabot_organization_secret_repositories,sdkv2,0,resource,false,github:index/dependabotOrganizationSecretRepositories:DependabotOrganizationSecretRepositories
github,6.0.0-alpha.0+dev,github.github_repository.template.Elem,sdkv2,0,nested,false,github:index/repository:Repository
github,6.0.0-alpha.0+dev,github.github_repository.pages.Elem.source.Elem,sdkv2,0,nested,false,github:index/repository:Repository
github,6.0.0-alpha.0+dev,github.github_repository.pages.Elem,sdkv2,0,nested,false,github:index/repository:Repository
github,6.0.0-alpha.0+dev,github.github_repository.security_and_analysis.Elem.secret_scanning_push_protection.Elem,sdkv2,0,nested,false,github:index/repository:Repository
github,6.0.0-alpha.0+dev,github.github_repository.security_and_analysis.Elem.advanced_security.Elem,sdkv2,0,nested,false,github:index/repository:Repository
