provider,version,path,implementation,type,optional,required,computed,forceNew,maxItems,minItems,deprecated,default,configMode,conflictsWith,exactlyOneOf,atLeastOneOf,requiredWith,defaultFunc
github,6.0.0-alpha.0+dev,github.app_auth,sdkv2,List,true,false,false,false,1,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.app_auth.Elem.id,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,github.com/integrations/terraform-provider-github/v6/github.Provider.EnvDefaultFunc.func6
github,6.0.0-alpha.0+dev,github.app_auth.Elem.installation_id,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,github.com/integrations/terraform-provider-github/v6/github.Provider.EnvDefaultFunc.func7
github,6.0.0-alpha.0+dev,github.app_auth.Elem.pem_file,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,github.com/integrations/terraform-provider-github/v6/github.Provider.EnvDefaultFunc.func8
github,6.0.0-alpha.0+dev,github.base_url,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/integrations/terraform-provider-github/v6/github.Provider.EnvDefaultFunc.func5
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.created_at,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.encrypted_value,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,plaintext_value,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.environment,sdkv2,String,false,true,false,true,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.plaintext_value,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,encrypted_value,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.repository,sdkv2,String,false,true,false,true,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.secret_name,sdkv2,String,false,true,false,true,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secret.updated_at,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.environment,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.full_name,sdkv2,String,true,false,true,false,0,0,,<nil>,auto,name,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.name,sdkv2,String,true,false,true,false,0,0,,<nil>,auto,full_name,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.secrets,sdkv2,List,false,false,true,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.secrets.Elem.created_at,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.secrets.Elem.name,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
github,6.0.0-alpha.0+dev,github.github_actions_environment_secrets.secrets.Elem.updated_at,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
