provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
google-beta,7.0.0-alpha.0+dev,google-beta.batching.Elem,sdkv2,0,nested,false,
google-beta,7.0.0-alpha.0+dev,google-beta.google_service_directory_namespace_iam_binding.condition.Elem,sdkv2,0,nested,false,gcp:servicedirectory/namespaceIamBinding:NamespaceIamBinding
google-beta,7.0.0-alpha.0+dev,google-beta.google_service_directory_namespace_iam_binding,sdkv2,0,resource,true,gcp:servicedirectory/namespaceIamBinding:NamespaceIamBinding
google-beta,7.0.0-alpha.0+dev,google-beta.google_netapp_storage_pool,sdkv2,0,resource,true,gcp:netapp/storagePool:StoragePool
google-beta,7.0.0-alpha.0+dev,google-beta.google_network_security_security_profile_group,sdkv2,0,resource,true,gcp:networksecurity/securityProfileGroup:SecurityProfileGroup
google-beta,7.0.0-alpha.0+dev,google-beta.google_project_default_service_accounts,sdkv2,0,resource,true,gcp:projects/defaultServiceAccounts:DefaultServiceAccounts
google-beta,7.0.0-alpha.0+dev,google-beta.google_compute_instance_iam_member.condition.Elem,sdkv2,0,nested,false,gcp:compute/instanceIAMMember:InstanceIAMMember
google-beta,7.0.0-alpha.0+dev,google-beta.google_compute_instance_iam_member,sdkv2,0,resource,true,gcp:compute/instanceIAMMember:InstanceIAMMember
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.bucket_options.Elem.linear_buckets.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.bucket_options.Elem.explicit_buckets.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.bucket_options.Elem.exponential_buckets.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.bucket_options.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.metric_descriptor.Elem.labels.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric.metric_descriptor.Elem,sdkv2,0,nested,false,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_logging_metric,sdkv2,0,resource,true,gcp:logging/metric:Metric
google-beta,7.0.0-alpha.0+dev,google-beta.google_access_context_manager_egress_policy,sdkv2,0,resource,true,gcp:accesscontextmanager/egressPolicy:EgressPolicy
google-beta,7.0.0-alpha.0+dev,google-beta.google_iap_web_type_app_engine_iam_binding.condition.Elem,sdkv2,0,nested,false,gcp:iap/webTypeAppEngingIamBinding:WebTypeAppEngingIamBinding
google-beta,7.0.0-alpha.0+dev,google-beta.google_iap_web_type_app_engine_iam_binding,sdkv2,0,resource,true,gcp:iap/webTypeAppEngingIamBinding:WebTypeAppEngingIamBinding
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.compute_engine_preferences.Elem.machine_preferences.Elem.allowed_machine_series.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.compute_engine_preferences.Elem.machine_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.compute_engine_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.region_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.sole_tenancy_preferences.Elem.node_types.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.sole_tenancy_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem.vmware_engine_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set.virtual_machine_preferences.Elem,sdkv2,0,nested,false,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_migration_center_preference_set,sdkv2,0,resource,true,gcp:migrationcenter/preferenceSet:PreferenceSet
google-beta,7.0.0-alpha.0+dev,google-beta.google_gke_backup_backup_plan_iam_policy,sdkv2,0,resource,true,gcp:gkebackup/backupPlanIamPolicy:BackupPlanIamPolicy
google-beta,7.0.0-alpha.0+dev,google-beta.google_certificate_manager_certificate_map_entry,sdkv2,0,resource,true,gcp:certificatemanager/certificateMapEntry:CertificateMapEntry
google-beta,7.0.0-alpha.0+dev,google-beta.google_cloudfunctions2_function_iam_member.condition.Elem,sdkv2,0,nested,false,gcp:cloudfunctionsv2/functionIamMember:FunctionIamMember
