provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem,sdkv2,0,nested,false,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_backup_snapshot_restore_job.delivery_type_config.Elem,sdkv2,0,nested,false,mongodbatlas:index/cloudBackupSnapshotRestoreJob:CloudBackupSnapshotRestoreJob
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_backup_snapshot_restore_job,sdkv2,0,resource,false,mongodbatlas:index/cloudBackupSnapshotRestoreJob:CloudBackupSnapshotRestoreJob
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_privatelink_endpoint,sdkv2,0,resource,false,mongodbatlas:index/privateLinkEndpoint:PrivateLinkEndpoint
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_private_endpoint_regional_mode,sdkv2,0,resource,false,mongodbatlas:index/privateEndpointRegionalMode:PrivateEndpointRegionalMode
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_search_index.synonyms.Elem,sdkv2,0,nested,false,mongodbatlas:index/searchIndex:SearchIndex
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_search_index,sdkv2,0,resource,false,mongodbatlas:index/searchIndex:SearchIndex
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_access_list_api_key,sdkv2,0,resource,false,mongodbatlas:index/accessListApiKey:AccessListApiKey
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_auditing,sdkv2,0,resource,false,mongodbatlas:index/auditing:Auditing
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_federated_settings_identity_provider,sdkv2,0,resource,false,mongodbatlas:index/federatedSettingsIdentityProvider:FederatedSettingsIdentityProvider
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_search_deployment.specs.Elem.Elem,pf,0,nested,false,mongodbatlas:index/searchDeployment:SearchDeployment
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_search_deployment.timeouts.Elem,pf,0,nested,false,mongodbatlas:index/searchDeployment:SearchDeployment
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_search_deployment,pf,0,resource,false,mongodbatlas:index/searchDeployment:SearchDeployment
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_backup_snapshot_export_bucket,sdkv2,0,resource,false,mongodbatlas:index/cloudBackupSnapshotExportBucket:CloudBackupSnapshotExportBucket
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_provider_access_authorization.aws.Elem,sdkv2,0,nested,false,mongodbatlas:index/cloudProviderAccessAuthorization:CloudProviderAccessAuthorization
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_provider_access_authorization.azure.Elem,sdkv2,0,nested,false,mongodbatlas:index/cloudProviderAccessAuthorization:CloudProviderAccessAuthorization
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_provider_access_authorization.feature_usages.Elem,sdkv2,0,nested,false,mongodbatlas:index/cloudProviderAccessAuthorization:CloudProviderAccessAuthorization
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_cloud_provider_access_authorization,sdkv2,1,resource,false,mongodbatlas:index/cloudProviderAccessAuthorization:CloudProviderAccessAuthorization
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_x509_authentication_database_user.certificates.Elem,sdkv2,0,nested,false,mongodbatlas:index/x509AuthenticationDatabaseUser:X509AuthenticationDatabaseUser
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_x509_authentication_database_user,sdkv2,0,resource,false,mongodbatlas:index/x509AuthenticationDatabaseUser:X509AuthenticationDatabaseUser
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_stream_connection.db_role_to_execute.Elem,pf,0,nested,false,mongodbatlas:index/streamConnection:StreamConnection
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_stream_connection.security.Elem,pf,0,nested,false,mongodbatlas:index/streamConnection:StreamConnection
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_stream_connection.authentication.Elem,pf,0,nested,false,mongodbatlas:index/streamConnection:StreamConnection
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_stream_connection,pf,0,resource,false,mongodbatlas:index/streamConnection:StreamConnection
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_project_api_key.project_assignment.Elem,sdkv2,0,nested,false,mongodbatlas:index/projectApiKey:ProjectApiKey
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_project_api_key,sdkv2,0,resource,false,mongodbatlas:index/projectApiKey:ProjectApiKey
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.mongodbatlas_federated_database_instance.data_process_region.Elem,sdkv2,0,nested,false,mongodbatlas:index/federatedDatabaseInstance:FederatedDatabaseInstance
