provider,version,path,implementation,type,optional,required,computed,forceNew,maxItems,minItems,deprecated,default,configMode,conflictsWith,exactlyOneOf,atLeastOneOf,requiredWith,defaultFunc
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role,sdkv2,List,true,false,false,false,1,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.duration,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.external_id,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.policy,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.policy_arns,sdkv2,Set,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.policy_arns.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.role_arn,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.session_name,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.source_identity,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.tags,sdkv2,Map,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.tags.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.transitive_tag_keys,sdkv2,Set,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.assume_role.Elem.transitive_tag_keys.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.aws_access_key_id,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.aws_secret_access_key,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.aws_session_token,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.base_url,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
mongodbatlas,3.0.0-alpha.0+dev,mongodbatlas.is_mongodbgov_cloud,sdkv2,Bool,true,false,false,false,0,0,,<nil>,auto,,,,,
