provider,version,path,implementation,schemaVersion,resourceType,useJSONNumber,token
postgresql,,postgresql.clientcert.Elem,sdkv2,0,nested,false,
postgresql,,postgresql.postgresql_publication,sdkv2,0,resource,false,postgresql:index/publication:Publication
postgresql,,postgresql.postgresql_subscription,sdkv2,0,resource,false,postgresql:index/subscription:Subscription
postgresql,,postgresql.postgresql_schema.policy.Elem,sdkv2,0,nested,false,postgresql:index/schema:Schema
postgresql,,postgresql.postgresql_schema,sdkv2,0,resource,false,postgresql:index/schema:Schema
postgresql,,postgresql.postgresql_replication_slot,sdkv2,0,resource,false,postgresql:index/replicationSlot:ReplicationSlot
postgresql,,postgresql.postgresql_function.arg.Elem,sdkv2,0,nested,false,postgresql:index/function:Function
postgresql,,postgresql.postgresql_function,sdkv2,0,resource,false,postgresql:index/function:Function
postgresql,,postgresql.postgresql_server,sdkv2,0,resource,false,postgresql:index/server:Server
postgresql,,postgresql.postgresql_extension,sdkv2,0,resource,false,postgresql:index/extension:Extension
postgresql,,postgresql.postgresql_default_privileges_legacy,sdkv2,0,resource,false,postgresql:index/defaultPrivileg:DefaultPrivileg
postgresql,,postgresql.postgresql_physical_replication_slot,sdkv2,0,resource,false,postgresql:index/physicalReplicationSlot:PhysicalReplicationSlot
postgresql,,postgresql.postgresql_role,sdkv2,0,resource,false,postgresql:index/role:Role
postgresql,,postgresql.postgresql_grant,sdkv2,0,resource,false,postgresql:index/grant:Grant
postgresql,,postgresql.postgresql_grant_role,sdkv2,0,resource,false,postgresql:index/grantRole:GrantRole
postgresql,,postgresql.postgresql_database,sdkv2,0,resource,false,postgresql:index/database:Database
postgresql,,postgresql.postgresql_default_privileges,sdkv2,0,resource,false,postgresql:index/defaultPrivileges:DefaultPrivileges
postgresql,,postgresql.postgresql_user_mapping,sdkv2,0,resource,false,postgresql:index/userMapping:UserMapping
postgresql,,postgresql.postgresql_schemas,sdkv2,0,dataSource,false,postgresql:index/getSchemas:getSchemas
postgresql,,postgresql.postgresql_tables.tables.Elem,sdkv2,0,nested,false,postgresql:index/getTables:getTables
postgresql,,postgresql.postgresql_tables,sdkv2,0,dataSource,false,postgresql:index/getTables:getTables
postgresql,,postgresql.postgresql_sequences.sequences.Elem,sdkv2,0,nested,false,postgresql:index/getSequences:getSequences
postgresql,,postgresql.postgresql_sequences,sdkv2,0,dataSource,false,postgresql:index/getSequences:getSequences
