provider,version,path,implementation,type,optional,required,computed,forceNew,maxItems,minItems,deprecated,default,configMode,conflictsWith,exactlyOneOf,atLeastOneOf,requiredWith,defaultFunc
postgresql,,postgresql.aws_rds_iam_auth,sdkv2,Bool,true,false,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.aws_rds_iam_profile,sdkv2,String,true,false,false,false,0,0,,,auto,,,,,
postgresql,,postgresql.aws_rds_iam_region,sdkv2,String,true,false,false,false,0,0,,,auto,,,,,
postgresql,,postgresql.azure_identity_auth,sdkv2,Bool,true,false,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.azure_tenant_id,sdkv2,String,true,false,false,false,0,0,,,auto,,,,,
postgresql,,postgresql.clientcert,sdkv2,List,true,false,false,false,1,0,,<nil>,auto,,,,,
postgresql,,postgresql.clientcert.Elem.cert,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.clientcert.Elem.key,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.clientcert.Elem.sslinline,sdkv2,Bool,true,false,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.connect_timeout,sdkv2,Int,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/cyrilgdn/terraform-provider-postgresql/postgresql.Provider.EnvDefaultFunc.func9
postgresql,,postgresql.database,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/cyrilgdn/terraform-provider-postgresql/postgresql.Provider.EnvDefaultFunc.func4
postgresql,,postgresql.database_username,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.expected_version,sdkv2,String,true,false,false,false,0,0,,9.0.0,auto,,,,,
postgresql,,postgresql.host,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/cyrilgdn/terraform-provider-postgresql/postgresql.Provider.EnvDefaultFunc.func2
postgresql,,postgresql.max_connections,sdkv2,Int,true,false,false,false,0,0,,20,auto,,,,,
postgresql,,postgresql.password,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/cyrilgdn/terraform-provider-postgresql/postgresql.Provider.EnvDefaultFunc.func6
postgresql,,postgresql.port,sdkv2,Int,true,false,false,false,0,0,,<nil>,auto,,,,,github.com/cyrilgdn/terraform-provider-postgresql/postgresql.Provider.EnvDefaultFunc.func3
postgresql,,postgresql.postgresql_database.allow_connections,sdkv2,Bool,true,false,false,false,0,0,,true,auto,,,,,
postgresql,,postgresql.postgresql_database.connection_limit,sdkv2,Int,true,false,false,false,0,0,,-1,auto,,,,,
postgresql,,postgresql.postgresql_database.encoding,sdkv2,String,true,false,true,true,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.postgresql_database.is_template,sdkv2,Bool,true,false,true,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.postgresql_database.lc_collate,sdkv2,String,true,false,true,true,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.postgresql_database.lc_ctype,sdkv2,String,true,false,true,true,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.postgresql_database.name,sdkv2,String,false,true,false,false,0,0,,<nil>,auto,,,,,
postgresql,,postgresql.postgresql_database.owner,sdkv2,String,true,false,true,false,0,0,,<nil>,auto,,,,,
