provider,version,path,implementation,type,optional,required,computed,forceNew,maxItems,minItems,deprecated,default,configMode,conflictsWith,exactlyOneOf,atLeastOneOf,requiredWith,defaultFunc
tls,,tls.proxy,sdkv2,List,true,false,false,false,1,0,,<nil>,auto,,,,,
tls,,tls.proxy.Elem.from_env,sdkv2,Bool,true,false,false,false,0,0,,false,auto,"proxy.0.url,proxy.0.username,proxy.0.password",,,,
tls,,tls.proxy.Elem.password,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,proxy.0.username,
tls,,tls.proxy.Elem.url,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,proxy.0.from_env,,,,
tls,,tls.proxy.Elem.username,sdkv2,String,true,false,false,false,0,0,,<nil>,auto,,,,proxy.0.url,
tls,,tls.tls_cert_request.cert_request_pem,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.dns_names,sdkv2,List,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.dns_names.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.id,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.ip_addresses,sdkv2,List,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.ip_addresses.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.key_algorithm,sdkv2,String,true,false,true,true,0,0,"This is now ignored, as the key algorithm is inferred from the `private_key_pem`.",<nil>,auto,,,,,
tls,,tls.tls_cert_request.private_key_pem,sdkv2,String,false,true,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject,sdkv2,List,true,false,false,true,1,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.common_name,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.country,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.locality,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.organization,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.organizational_unit,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.postal_code,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.province,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.serial_number,sdkv2,String,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.street_address,sdkv2,List,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.subject.Elem.street_address.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.uris,sdkv2,List,true,false,false,true,0,0,,<nil>,auto,,,,,
tls,,tls.tls_cert_request.uris.Elem,sdkv2,String,false,false,false,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_certificate.certificates,sdkv2,List,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_certificate.certificates.Elem.cert_pem,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_certificate.certificates.Elem.is_ca,sdkv2,Bool,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_certificate.certificates.Elem.issuer,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
tls,,tls.tls_certificate.certificates.Elem.not_after,sdkv2,String,false,false,true,false,0,0,,<nil>,auto,,,,,
